,LAT_GPS,LON_GPS,predicted,observed,residual
0,10.3652702086,123.015725238,-24491.375868116353,-58230.91666666666,33739.540798550304
1,11.5990619518,125.003515521,-38489.15518765644,-34028.80952380953,4460.345663846914
2,15.3007629238,120.886980702,-1218.648045864291,44979.260869565216,46197.90891542951
3,9.17984851367,124.666318568,-13743.53507495296,-38709.04166666666,24965.506591713696
4,13.2368753555,123.486941494,-902.4094744660251,-38756.54166666666,37854.13219220063
5,12.3056684195,125.258791313,-30875.875859862477,-106072.96153846152,75197.08567859905
6,6.5705509675,124.756196914,-26812.176234539198,-78421.34782608696,51609.17159154776
7,14.7151664588,120.953499029,75716.72680908324,123472.0,47755.27319091676
8,11.2146881734,119.466245436,-54397.321101885755,-39132.27777777778,15265.043324107974
9,15.5979951874,121.085891469,-17746.48097382317,36618.045454545456,54364.52642836863
10,8.62138702027,123.511509161,-24204.22947370643,-82159.25,57955.02052629357
11,13.0964533447,123.657371192,-26464.012640631146,-7680.25,18783.762640631146
12,14.851177433,120.480883879,26452.210255995044,113879.86363636365,87427.6533803686
13,7.0243695454,125.082593944,5678.570405536011,60692.333333333336,55013.762927797325
14,17.9349908963,121.189000834,-14234.970134893461,-95034.44,80799.46986510654
15,18.2321021225,121.44665116,20810.075843038358,-34295.63636363636,55105.71220667472
16,6.28756474825,125.613847568,-79745.44261073096,-126975.27272727272,47229.830116541765
17,14.8136306091,120.539013703,41944.2102776409,77610.73913043478,35666.52885279388
18,14.695118336,121.047333672,68008.50979861051,188874.0,120865.49020138949
19,16.922353158,121.559473132,32337.616126107605,-20793.07692307692,53130.69304918453
20,15.1624015337,120.225714729,14748.256178374504,-111458.125,126206.3811783745
21,10.6268073867,122.172225958,-35360.04366269988,33240.5,68600.54366269987
22,8.59285107746,123.341972989,21714.414080968505,76454.08695652174,54739.67287555324
23,9.99764318449,125.601238646,-14472.682490374369,2995.7391304347825,17468.421620809153
24,9.5408663318,125.558357994,-42209.879879942884,23166.5,65376.379879942884
25,8.97571271868,125.517989786,-14968.41005999266,-3334.833333333333,11633.576726659328
26,14.4808710242,121.018223115,150614.29321843048,85412.5,65201.79321843048
27,10.9904487084,124.988287526,-26496.170398061826,-64389.08,37892.909601938176
28,16.9383521514,121.463062909,-14199.451353441997,-24135.884615384617,9936.43326194262
29,7.50898601534,126.0951868,-51226.10873459484,-77100.07692307692,25873.968188482082
30,17.0496477772,120.876668942,-3295.6702237842546,-43846.5,40550.829776215745
