cluster_number,wealth_index,education_completed_yrs,electricity_access
1,-31881.608695652172,9.391304347826088,0.9130434782608695
2,-2855.375,9.708333333333334,0.9583333333333334
3,-57647.04761904762,8.428571428571429,0.8571428571428571
4,-54952.666666666664,6.714285714285714,0.8095238095238095
5,-77819.16,8.24,0.92
6,-80701.69565217392,8.08695652173913,0.8695652173913043
7,-62490.53846153846,7.5,0.8076923076923077
8,-80889.66666666667,4.958333333333333,0.9583333333333334
9,-77994.52,6.64,0.8
10,-135511.96153846153,5.153846153846154,0.34615384615384615
11,-107304.25,6.166666666666667,0.7083333333333334
12,-131172.08333333334,5.708333333333333,0.5
13,76253.0,13.3,1.0
14,-32643.821428571428,10.785714285714286,1.0
15,-8792.869565217392,14.73913043478261,1.0
16,-39917.13043478261,5.956521739130435,1.0
17,17931.157894736843,10.947368421052632,0.9473684210526315
18,59813.11111111111,11.722222222222221,1.0
19,-58036.77272727273,8.318181818181818,0.9545454545454546
20,-104656.42857142857,4.5476190476190474,0.9761904761904762
21,-75593.73076923077,6.461538461538462,0.7307692307692307
22,-70545.11538461539,9.461538461538462,1.0
23,-103012.5,4.25,0.9
24,-99201.13888888889,5.833333333333333,0.9722222222222222
25,-78596.53846153847,5.1923076923076925,0.9230769230769231
26,-89828.42307692308,8.384615384615385,1.0
27,-97502.06666666667,4.7,1.0
28,-63225.86111111111,9.527777777777779,1.0
29,-88367.92307692308,5.961538461538462,1.0
30,-137765.72413793104,1.8620689655172413,0.8620689655172413
31,-65574.53846153847,6.576923076923077,0.8846153846153846
32,-73487.57692307692,5.653846153846154,0.9615384615384616
33,-104029.37931034483,5.793103448275862,0.7586206896551724
34,-83074.0,7.115384615384615,0.9615384615384616
35,-103182.5172413793,5.896551724137931,0.6896551724137931
36,-107396.46153846153,5.115384615384615,0.7692307692307693
37,-55420.275862068964,6.206896551724138,0.9310344827586207
38,-64695.346153846156,9.0,0.6923076923076923
39,-164958.92307692306,6.153846153846154,0.15384615384615385
40,-123934.31428571428,5.257142857142857,0.8285714285714286
41,-59945.07692307692,6.230769230769231,0.9615384615384616
42,-101041.84615384616,4.6923076923076925,0.9615384615384616
43,842.7692307692307,8.038461538461538,0.9615384615384616
44,81560.35,12.6,1.0
45,6491.833333333333,8.666666666666666,0.9333333333333333
46,69627.05,11.2,0.95
47,-25371.45,7.55,0.95
48,-49772.68,8.48,0.96
49,-119870.4074074074,4.296296296296297,0.5925925925925926
50,-127733.86206896552,2.896551724137931,0.6206896551724138
51,-78682.24,7.6,0.6
52,-142176.6923076923,5.115384615384615,0.7307692307692307
53,-167231.5185185185,2.7037037037037037,0.5925925925925926
54,-86696.23076923077,4.8076923076923075,0.7307692307692307
55,-149848.11538461538,1.9230769230769231,0.5769230769230769
56,-131919.5,2.857142857142857,0.6428571428571429
57,-78232.5,9.26923076923077,1.0
58,-150667.53846153847,2.576923076923077,0.8076923076923077
59,-148128.5357142857,4.071428571428571,0.07142857142857142
60,-17651.75,11.8125,1.0
61,-47601.0,5.809523809523809,0.8095238095238095
62,-105186.8125,6.4375,0.8125
63,-62318.5,9.583333333333334,0.875
64,-120054.80952380953,5.333333333333333,0.6190476190476191
65,-59755.380952380954,10.0,1.0
66,26319.5,14.0,1.0
67,-145664.72222222222,5.0,0.2777777777777778
68,-111110.15,7.3,0.65
69,14871.047619047618,12.428571428571429,1.0
70,-101645.36363636363,7.409090909090909,0.9090909090909091
71,-104518.18181818182,9.0,0.5454545454545454
72,-62593.529411764706,9.352941176470589,0.7647058823529411
73,-18345.16,10.56,0.96
74,65167.63636363636,11.818181818181818,0.9545454545454546
75,19911.347826086956,9.565217391304348,0.9130434782608695
76,29942.0,10.476190476190476,0.9047619047619048
77,-34387.05,8.7,1.0
78,-30335.782608695652,9.08695652173913,0.9130434782608695
79,-26637.88,8.44,0.92
80,23827.333333333332,9.458333333333334,0.9583333333333334
81,-17866.625,10.541666666666666,0.9166666666666666
82,61470.95,11.8,1.0
83,-46427.04,9.28,0.76
84,-31794.947368421053,14.105263157894736,0.8947368421052632
